iter	Passed	Remaining
0	0	75
1	1	70
2	2	74
3	3	73
4	3	70
5	4	74
6	5	74
7	6	76
8	7	79
9	8	80
10	10	82
11	11	82
12	12	81
13	13	81
14	14	80
15	15	80
16	16	79
17	17	78
18	18	77
19	19	77
20	20	75
21	21	75
22	22	74
23	23	74
24	24	73
25	25	72
26	26	71
27	27	70
28	28	69
29	29	68
30	30	67
31	31	66
32	32	65
33	32	64
34	33	62
35	34	61
36	35	60
37	36	59
38	37	58
39	38	57
40	39	56
41	40	55
42	40	54
43	41	52
44	42	51
45	43	50
46	43	49
47	44	48
48	45	47
49	46	46
50	46	44
51	47	43
52	48	42
53	48	41
54	49	40
55	50	39
56	51	38
57	52	38
58	53	37
59	54	36
60	54	35
61	55	34
62	56	33
63	57	32
64	57	31
65	58	30
66	59	29
67	60	28
68	60	27
69	61	26
70	62	25
71	62	24
72	63	23
73	64	22
74	65	21
75	65	20
76	66	19
77	67	18
78	67	18
79	68	17
80	69	16
81	69	15
82	70	14
83	71	13
84	71	12
85	72	11
86	73	10
87	73	10
88	74	9
89	74	8
90	75	7
91	76	6
92	76	5
93	77	4
94	78	4
95	78	3
96	79	2
97	79	1
98	80	0
99	81	0
