iter	Passed	Remaining
0	159	159700
1	160	80195
2	162	53900
3	163	40622
4	164	32717
5	165	27370
6	166	23596
7	167	20824
8	169	18686
9	171	16998
10	172	15530
11	173	14317
12	175	13293
13	176	12438
14	178	11728
15	179	11039
16	180	10460
17	181	9924
18	183	9480
19	185	9108
20	187	8724
21	188	8387
22	190	8082
23	191	7782
24	192	7521
25	193	7263
26	194	7024
27	195	6803
28	197	6612
29	198	6432
30	200	6269
31	201	6106
32	203	5954
33	204	5807
34	205	5669
35	206	5528
36	207	5396
37	208	5271
38	209	5150
39	209	5035
40	210	4928
41	211	4828
42	212	4735
43	213	4642
44	214	4560
45	215	4477
46	216	4393
47	217	4313
48	218	4240
49	219	4163
50	219	4088
51	220	4016
52	220	3947
53	221	3880
54	222	3815
55	222	3752
56	223	3691
57	223	3632
58	224	3577
59	224	3523
60	225	3473
61	226	3429
62	227	3383
63	228	3338
64	228	3293
65	229	3249
66	230	3206
67	230	3164
68	231	3123
69	232	3083
70	232	3045
71	233	3006
72	233	2970
73	234	2933
74	235	2898
75	235	2863
76	236	2830
77	236	2796
78	237	2764
79	237	2733
80	238	2702
81	238	2672
82	239	2641
83	239	2613
84	240	2587
85	240	2560
86	241	2536
87	242	2512
88	243	2489
89	243	2464
90	244	2442
91	245	2419
92	245	2396
93	246	2375
94	247	2354
95	247	2332
96	248	2311
97	248	2290
98	249	2269
99	249	2249
100	250	2229
101	251	2209
102	251	2190
103	252	2171
104	252	2152
105	253	2134
106	253	2117
107	254	2099
108	254	2082
109	255	2065
110	255	2049
111	256	2032
112	257	2018
113	257	2004
114	258	1991
115	259	1976
116	259	1961
117	260	1946
118	261	1932
119	261	1918
120	262	1904
121	262	1889
122	263	1876
123	263	1862
124	264	1849
125	264	1836
126	265	1822
127	265	1809
128	266	1797
129	266	1784
130	267	1772
131	267	1760
132	268	1748
133	268	1738
134	269	1727
135	270	1716
136	270	1705
137	271	1694
138	271	1683
139	272	1674
140	273	1664
141	273	1653
142	274	1644
143	275	1634
144	275	1625
145	276	1615
146	276	1606
147	277	1597
148	278	1588
149	278	1578
150	279	1569
151	279	1559
152	280	1550
153	280	1541
154	281	1532
155	281	1524
156	282	1515
157	282	1507
158	283	1498
159	283	1490
160	284	1481
161	284	1473
162	285	1464
163	285	1457
164	286	1449
165	287	1442
166	287	1435
167	288	1428
168	289	1422
169	289	1415
170	290	1408
171	291	1401
172	291	1395
173	292	1388
174	293	1382
175	293	1375
176	294	1368
177	294	1361
178	295	1354
